 (expr.) make-it-look-like,1388524723,0,1,0,
 I ate as much as you(tu),0,1380624617,3,3,
 I ate salad yesterday,0,1378458873,1,1,
 I ate salad yesterday.,0,1378448705,1,1,
 I like my apartment - no one lives(vivre) above,0,1378734496,3,3,
 I'm happy that he's here/there,1407009031,1381214479,3,2,
(Any)one speak German here?,0,1377789141,1,1,
(Are) You(tu) interested in tennis?,1390579522,1390579522,2,2,
(Are) there any children?,1390155574,1390155574,2,2,
(Are) there some books in the cupboard? Yes\; there are some\; top right,1391618207,0,1,0,
(Are) they eating some strawberries?,1385795252,1385795252,1,1,
(Are) they going to travel together?,1385472818,1385472818,1,1,
(Are) they not coming?,1390491659,1390491659,3,3,
(Are) they(f) absolutely certain(expr.) the house will be ready?,1407475275,1407475275,2,1,
(Are) we eating salad?,1390136457,1390136457,2,2,
(Are) you going to handle him?,1386525610,0,2,0,
(Are) you having fun?,1390579035,1390579035,2,1,
(Are) you speaking with your(tu) mum?,1385729826,1385729826,1,1,
(Are) you(tu) certain he's coming?,1439066644,1439066644,2,1,
(Are) you(tu) getting   out of it? (expr.),1423950604,1423950604,2,1,
(Are) you(tu) going to eat some salad?,1390167243,1390167243,2,2,
(Are) you(tu) going to leave in june?,1388527364,0,1,0,
(Are) you(tu) going to shave?,1387538682,1387538682,1,1,
(Are) you(tu) having fun?,1428351400,1428351400,4,1,
(Are) you(tu) having fun? - (Are) you having fun?,1399145595,1399145595,3,1,
(Are) you(tu) not reading it to me?,1386171518,1386171518,1,1,
(Are) you(tu) not reading it?,1390155574,1390155574,2,2,
(Are) you(tu) not reading?,1386171518,1386171518,1,1,
(Are) you(tu) reading ?,1384789809,1384789809,1,1,
(Are) you(tu) reading it?,1386199385,1386199385,1,1,
(Are) you(tu) saying that he is doing it?,1385902003,1385902003,1,1,
(Are) you(tu) sure he's coming?,1393624016,1393624016,1,1,
(Are) you(tu) washing your hands?,1390155574,1390155574,2,2,
(Are) you(tu) you not hungry?,1390155574,1390155574,3,3,
(Can) I/we start in some minutes?,1388530968,1388530968,1,1,
(Can) you tell Luc to set the table?,1384710195,1384710195,1,1,
(Did) Damar say how he was going to proceed?,1385318840,1385318840,1,1,
(Did) Kira arrive?,1384261171,1384261171,1,1,
(Did) he eat?,1387321987,1387321987,2,2,
(Did) he eat? - (Did)n't he eat? - He didn't eat,1390155574,1390155574,2,2,
(Did) he wait for the others ?,1408775826,1408775826,2,2,
(Did) he wait for the others ? - Didn't he wait for the others ?,1386171518,1386171518,1,1,
(Did) she get herself expelled?,1429478545,1384083881,3,1,
(Did) she see them ?,1390155574,1390155574,2,2,
(Did) she speak to us ?,1390155574,1390155574,2,2,
